collateral_id,loan_id,collateral_type,collateral_value,valuation_date,status
170,22968,SMARTPHONE,432.03,2022-02-02,ACTIVE
171,13275,CAR,7937.01,2022-02-02,ACTIVE
172,423,CAR,5149.35,2022-02-02,RELEASED
173,8080,MOTORCYCLE,1171.86,2022-02-02,ACTIVE
174,11594,SMARTPHONE,594.47,2022-02-02,ACTIVE
175,1072,CAR,15914.83,2022-02-02,ACTIVE
176,22208,MOTORCYCLE,27539.81,2022-02-02,RELEASED
177,11241,MOTORCYCLE,1526.7,2022-02-02,ACTIVE
178,20818,SMARTPHONE,547.01,2022-02-03,RELEASED
179,4953,MOTORCYCLE,2507.79,2022-02-03,ACTIVE
180,14552,MOTORCYCLE,2923.25,2022-02-04,ACTIVE
181,19463,MOTORCYCLE,3330.63,2022-02-04,ACTIVE
182,837,CAR,3856.8,2022-02-04,ACTIVE
183,8541,MOTORCYCLE,3519.32,2022-02-04,RELEASED
184,9971,SMARTPHONE,971.06,2022-02-04,RELEASED
185,14267,MOTORCYCLE,2623.87,2022-02-04,RELEASED
186,14865,MOTORCYCLE,1303.42,2022-02-04,ACTIVE
187,11477,CAR,4351.52,2022-02-04,RELEASED
188,13638,MOTORCYCLE,4239.86,2022-02-05,ACTIVE
189,18938,SMARTPHONE,996.18,2022-02-05,ACTIVE
190,17945,SMARTPHONE,623.6,2022-02-05,SEIZED
191,8505,MOTORCYCLE,45180.82,2022-02-06,ACTIVE
192,16680,MOTORCYCLE,1712.18,2022-02-06,SEIZED
193,16319,SMARTPHONE,798.68,2022-02-06,ACTIVE
194,4438,MOTORCYCLE,1885.35,2022-02-06,RELEASED
195,20384,MOTORCYCLE,1388.22,2022-02-06,ACTIVE
196,1646,CAR,19770.57,2022-02-06,RELEASED
197,22712,SMARTPHONE,388.87,2022-02-06,ACTIVE
198,7080,SMARTPHONE,984.63,2022-02-06,RELEASED
199,788,SMARTPHONE,203.51,2022-02-07,RELEASED
200,9037,CAR,10856.87,2022-02-07,RELEASED
201,20067,CAR,21596.22,2022-02-07,ACTIVE
202,8174,SMARTPHONE,589.52,2022-02-07,RELEASED
203,10893,SMARTPHONE,684.89,2022-02-07,RELEASED
204,5939,CAR,18695.58,2022-02-07,RELEASED
205,8043,CAR,106600.47,2022-02-07,RELEASED
206,18216,SMARTPHONE,1027.71,2022-02-07,SEIZED
207,18609,MOTORCYCLE,2193.57,2022-02-08,ACTIVE
208,15877,MOTORCYCLE,1801.09,2022-02-08,RELEASED
209,23140,SMARTPHONE,377.87,2022-02-08,SEIZED
210,2927,CAR,2843.92,2022-02-08,ACTIVE
211,14973,MOTORCYCLE,1942.38,2022-02-08,RELEASED
212,22111,MOTORCYCLE,2366.81,2022-02-08,ACTIVE
213,10562,CAR,27086.87,2022-02-08,RELEASED
214,19417,SMARTPHONE,322.79,2022-02-08,SEIZED
215,5365,CAR,6928.76,2022-02-09,RELEASED
216,9642,MOTORCYCLE,2080.49,2022-02-09,RELEASED
217,18587,CAR,2561.56,2022-02-09,ACTIVE
218,19903,SMARTPHONE,573.49,2022-02-09,RELEASED
219,22551,CAR,35405.94,2022-02-09,ACTIVE
220,4023,MOTORCYCLE,2315.01,2022-02-10,RELEASED
221,9136,MOTORCYCLE,2488.04,2022-02-10,SEIZED
222,4543,CAR,21144.83,2022-02-10,RELEASED
223,2881,MOTORCYCLE,28475.49,2022-02-10,SEIZED
224,8470,CAR,30300.63,2022-02-10,ACTIVE
225,15955,MOTORCYCLE,889.69,2022-02-10,ACTIVE
226,22140,CAR,7926.5,2022-02-10,RELEASED
227,17663,MOTORCYCLE,2759.89,2022-02-11,RELEASED
228,13469,MOTORCYCLE,2906.2,2022-02-11,ACTIVE
229,23374,SMARTPHONE,643.57,2022-02-11,RELEASED
230,19042,MOTORCYCLE,2110.51,2022-02-11,RELEASED
231,10808,MOTORCYCLE,2577.69,2022-02-11,ACTIVE
232,4855,CAR,51332.67,2022-02-12,ACTIVE
233,10654,SMARTPHONE,731.77,2022-02-12,RELEASED
234,8866,SMARTPHONE,753.15,2022-02-12,ACTIVE
235,18677,SMARTPHONE,722.5,2022-02-12,ACTIVE
236,6430,CAR,56558.61,2022-02-12,RELEASED
237,8016,SMARTPHONE,644.2,2022-02-13,RELEASED
238,14945,CAR,48273.73,2022-02-13,RELEASED
239,8973,CAR,5184.75,2022-02-13,ACTIVE
240,411,CAR,5369.22,2022-02-13,RELEASED
241,10965,MOTORCYCLE,2502.17,2022-02-14,RELEASED
242,3413,CAR,19742.06,2022-02-14,ACTIVE
243,3505,SMARTPHONE,612.94,2022-02-14,ACTIVE
244,6124,SMARTPHONE,801.24,2022-02-14,RELEASED
245,16688,MOTORCYCLE,3455.13,2022-02-14,RELEASED
246,13209,CAR,80614.77,2022-02-15,RELEASED
247,21829,SMARTPHONE,1032.1,2022-02-15,ACTIVE
248,13616,MOTORCYCLE,1688.2,2022-02-15,RELEASED
249,3647,SMARTPHONE,932.58,2022-02-15,RELEASED
250,12477,CAR,8136.45,2022-02-15,ACTIVE
251,11109,CAR,61042.54,2022-02-16,RELEASED
252,5968,MOTORCYCLE,2758.12,2022-02-16,SEIZED
253,7289,SMARTPHONE,574.42,2022-02-17,RELEASED
254,6822,MOTORCYCLE,2132.55,2022-02-17,SEIZED
255,13408,CAR,23525.05,2022-02-17,ACTIVE
256,12213,SMARTPHONE,733.74,2022-02-17,RELEASED
257,20253,MOTORCYCLE,3335.78,2022-02-18,ACTIVE
258,1837,MOTORCYCLE,3687.06,2022-02-18,RELEASED
259,4259,CAR,4034.41,2022-02-18,RELEASED
260,990,MOTORCYCLE,58722.24,2022-02-18,RELEASED
261,15267,SMARTPHONE,713.65,2022-02-19,RELEASED
262,307,SMARTPHONE,732.57,2022-02-19,SEIZED
263,5264,SMARTPHONE,1020.23,2022-02-19,SEIZED
264,14859,CAR,3420.09,2022-02-19,ACTIVE
265,22178,SMARTPHONE,876.64,2022-02-20,RELEASED
266,10406,CAR,24932.4,2022-02-20,RELEASED
267,4704,MOTORCYCLE,3110.75,2022-02-20,ACTIVE
268,3360,MOTORCYCLE,4482.06,2022-02-20,SEIZED
269,4534,CAR,18539.91,2022-02-20,RELEASED
270,13729,CAR,2412.29,2022-02-20,RELEASED
271,21811,CAR,3736.6,2022-02-20,RELEASED
272,12214,CAR,1764.31,2022-02-21,ACTIVE
273,14147,CAR,32496.94,2022-02-21,RELEASED
274,3344,CAR,6507.76,2022-02-21,RELEASED
275,4084,MOTORCYCLE,3179.24,2022-02-21,RELEASED
276,5189,MOTORCYCLE,40074.82,2022-02-22,ACTIVE
277,22489,MOTORCYCLE,3701.8,2022-02-22,SEIZED
278,13849,CAR,3002.85,2022-02-22,RELEASED
279,17505,CAR,5583.27,2022-02-22,ACTIVE
280,21619,SMARTPHONE,537.35,2022-02-22,ACTIVE
281,2788,SMARTPHONE,865.83,2022-02-23,ACTIVE
282,4277,SMARTPHONE,1083.34,2022-02-23,RELEASED
283,9096,SMARTPHONE,517.23,2022-02-23,RELEASED
284,4560,SMARTPHONE,801.94,2022-02-23,SEIZED
285,15980,MOTORCYCLE,2075.07,2022-02-23,RELEASED
286,16783,MOTORCYCLE,3832.63,2022-02-24,RELEASED
287,10714,CAR,5511.18,2022-02-25,RELEASED
288,22518,MOTORCYCLE,1850.89,2022-02-25,SEIZED
289,4640,MOTORCYCLE,2334.57,2022-02-25,ACTIVE
290,20008,SMARTPHONE,943.94,2022-02-26,ACTIVE
291,18369,MOTORCYCLE,2457.58,2022-02-26,RELEASED
292,7620,MOTORCYCLE,4787.38,2022-02-26,RELEASED
293,15882,CAR,2993.36,2022-02-26,ACTIVE
294,1305,MOTORCYCLE,2372.64,2022-02-26,ACTIVE
295,3870,CAR,59954.94,2022-02-27,ACTIVE
296,19671,CAR,23309.84,2022-02-27,ACTIVE
297,16677,MOTORCYCLE,48376.75,2022-02-27,RELEASED
298,3231,MOTORCYCLE,4115.26,2022-02-27,ACTIVE
299,9682,MOTORCYCLE,39111.21,2022-02-28,ACTIVE
300,6053,SMARTPHONE,429.48,2022-02-28,SEIZED
301,23366,MOTORCYCLE,2701.82,2022-02-28,ACTIVE
302,13497,CAR,2964.18,2022-03-01,ACTIVE
303,6401,MOTORCYCLE,3033.9,2022-03-01,ACTIVE
304,17683,CAR,64090.54,2022-03-01,ACTIVE
305,21621,CAR,54220.74,2022-03-01,RELEASED
306,7290,MOTORCYCLE,2611.72,2022-03-02,RELEASED
307,16507,MOTORCYCLE,3367.68,2022-03-02,SEIZED
308,4703,CAR,3166.61,2022-03-02,RELEASED
309,9709,MOTORCYCLE,3477.09,2022-03-02,SEIZED
310,13801,SMARTPHONE,639.75,2022-03-02,RELEASED
311,3575,MOTORCYCLE,1626.28,2022-03-03,RELEASED
312,1181,MOTORCYCLE,1173.75,2022-03-03,SEIZED
313,10040,CAR,5592.12,2022-03-03,RELEASED
314,15298,MOTORCYCLE,2801.91,2022-03-03,RELEASED
315,19512,SMARTPHONE,520.96,2022-03-03,RELEASED
316,18213,MOTORCYCLE,2373.08,2022-03-05,SEIZED
317,9254,CAR,3834.48,2022-03-05,RELEASED
318,2404,SMARTPHONE,937.97,2022-03-05,RELEASED
319,13200,MOTORCYCLE,2988.91,2022-03-05,RELEASED
320,3850,MOTORCYCLE,2330.54,2022-03-05,ACTIVE
321,18907,SMARTPHONE,645.88,2022-03-06,RELEASED
322,14318,SMARTPHONE,1078.28,2022-03-06,ACTIVE
323,15256,SMARTPHONE,486.35,2022-03-06,RELEASED
324,5712,SMARTPHONE,584.91,2022-03-06,SEIZED
325,22972,SMARTPHONE,394.4,2022-03-07,ACTIVE
326,57,CAR,82980.88,2022-03-07,RELEASED
327,3633,CAR,30763.35,2022-03-08,ACTIVE
328,890,SMARTPHONE,548.23,2022-03-08,RELEASED
329,707,SMARTPHONE,389.28,2022-03-09,RELEASED
330,3771,CAR,25381.97,2022-03-09,ACTIVE
331,22273,MOTORCYCLE,2924.04,2022-03-09,ACTIVE
332,148,MOTORCYCLE,2463.25,2022-03-09,SEIZED
333,20775,SMARTPHONE,555.23,2022-03-09,ACTIVE
334,21536,SMARTPHONE,292.39,2022-03-09,ACTIVE
335,23124,MOTORCYCLE,65121.59,2022-03-10,ACTIVE
336,16339,SMARTPHONE,449.62,2022-03-10,RELEASED
337,14458,SMARTPHONE,1303.42,2022-03-10,ACTIVE
338,13372,CAR,19366.83,2022-03-10,ACTIVE
339,8990,CAR,66255.93,2022-03-11,RELEASED
340,1523,CAR,29437.23,2022-03-11,ACTIVE
341,16536,SMARTPHONE,930.85,2022-03-11,ACTIVE
342,241,SMARTPHONE,874.18,2022-03-11,RELEASED
343,3100,MOTORCYCLE,2612.77,2022-03-11,ACTIVE
344,19077,MOTORCYCLE,1783.04,2022-03-11,ACTIVE
345,21092,CAR,29175.57,2022-03-11,RELEASED
346,21722,SMARTPHONE,228.15,2022-03-11,ACTIVE
347,6058,CAR,5550.84,2022-03-11,RELEASED
348,660,MOTORCYCLE,965.25,2022-03-11,ACTIVE
349,13136,SMARTPHONE,1082.04,2022-03-12,RELEASED
350,8725,MOTORCYCLE,48376.54,2022-03-12,RELEASED
351,10241,CAR,2835.79,2022-03-12,SEIZED
352,15962,MOTORCYCLE,2106.5,2022-03-12,SEIZED
353,6123,CAR,30025.55,2022-03-12,ACTIVE
354,3682,CAR,905.49,2022-03-13,ACTIVE
355,11012,CAR,4086.81,2022-03-13,ACTIVE
356,3466,CAR,66700.5,2022-03-13,ACTIVE
357,16037,MOTORCYCLE,2472.67,2022-03-13,RELEASED
358,9386,MOTORCYCLE,1186.58,2022-03-14,RELEASED
359,1515,MOTORCYCLE,4233.08,2022-03-14,RELEASED
360,20941,SMARTPHONE,1021.97,2022-03-14,SEIZED
361,13416,CAR,5542.53,2022-03-14,ACTIVE
362,2344,CAR,37443.39,2022-03-14,ACTIVE
363,22619,MOTORCYCLE,3098.49,2022-03-14,RELEASED
364,12195,MOTORCYCLE,3554.6,2022-03-14,ACTIVE
365,18667,CAR,24212.71,2022-03-14,ACTIVE
366,8841,SMARTPHONE,540.91,2022-03-14,RELEASED
367,5157,CAR,5868.9,2022-03-14,ACTIVE
368,1948,CAR,27917.91,2022-03-15,ACTIVE
369,21732,MOTORCYCLE,1545.71,2022-03-15,RELEASED
370,2929,SMARTPHONE,519.81,2022-03-15,RELEASED
371,17553,MOTORCYCLE,1007.56,2022-03-15,ACTIVE
372,5408,SMARTPHONE,1115.68,2022-03-15,RELEASED
373,20193,CAR,1863.85,2022-03-16,RELEASED
374,3077,SMARTPHONE,512.97,2022-03-16,ACTIVE
375,16004,MOTORCYCLE,3117.64,2022-03-16,RELEASED
376,2911,CAR,19134.04,2022-03-16,ACTIVE
377,2370,SMARTPHONE,1014.92,2022-03-16,RELEASED
378,5657,SMARTPHONE,809.33,2022-03-16,RELEASED
379,13455,MOTORCYCLE,3152.98,2022-03-16,ACTIVE
380,18885,CAR,28449.77,2022-03-16,RELEASED
381,8592,MOTORCYCLE,3706.16,2022-03-16,ACTIVE
382,16887,SMARTPHONE,401.31,2022-03-17,ACTIVE
383,6658,SMARTPHONE,877.76,2022-03-17,ACTIVE
384,15854,SMARTPHONE,1037.87,2022-03-17,RELEASED
385,5788,CAR,641.64,2022-03-17,RELEASED
386,19244,SMARTPHONE,290.47,2022-03-17,RELEASED
387,12820,CAR,28452.38,2022-03-17,ACTIVE
388,20387,CAR,4589.29,2022-03-17,ACTIVE
389,3781,CAR,4312.29,2022-03-17,ACTIVE
390,22550,MOTORCYCLE,58266.15,2022-03-17,RELEASED
391,10306,SMARTPHONE,727.89,2022-03-18,RELEASED
392,18095,CAR,4498.01,2022-03-18,RELEASED
393,10208,CAR,8916.66,2022-03-18,ACTIVE
394,12539,SMARTPHONE,732.32,2022-03-18,ACTIVE
395,9917,SMARTPHONE,635.36,2022-03-18,ACTIVE
396,9191,MOTORCYCLE,1861.83,2022-03-18,RELEASED
397,14334,SMARTPHONE,755.12,2022-03-18,RELEASED
398,18347,SMARTPHONE,764.83,2022-03-19,ACTIVE
399,20956,SMARTPHONE,330.61,2022-03-19,ACTIVE
400,18930,CAR,524.42,2022-03-19,ACTIVE
401,9080,SMARTPHONE,541.23,2022-03-19,RELEASED
402,18144,SMARTPHONE,520.61,2022-03-19,ACTIVE
403,13605,MOTORCYCLE,2421.68,2022-03-20,ACTIVE
404,3564,SMARTPHONE,576.4,2022-03-20,ACTIVE
405,18875,SMARTPHONE,690.78,2022-03-20,ACTIVE
406,18964,MOTORCYCLE,1601.38,2022-03-20,RELEASED
407,7625,SMARTPHONE,1040.02,2022-03-20,RELEASED
408,9541,MOTORCYCLE,3242.79,2022-03-20,ACTIVE
409,7986,MOTORCYCLE,655.45,2022-03-21,ACTIVE
410,4737,CAR,5700.37,2022-03-21,ACTIVE
411,14049,CAR,36687.65,2022-03-21,ACTIVE
412,14048,MOTORCYCLE,2014.77,2022-03-21,RELEASED
413,11859,MOTORCYCLE,2252.37,2022-03-21,SEIZED
414,7872,CAR,2172.33,2022-03-21,ACTIVE
415,10020,CAR,40410.2,2022-03-22,SEIZED
416,1890,MOTORCYCLE,37366.22,2022-03-22,RELEASED
417,23213,CAR,45503.4,2022-03-22,SEIZED
418,5170,MOTORCYCLE,10465.22,2022-03-22,RELEASED
419,13728,MOTORCYCLE,2099.18,2022-03-22,RELEASED
420,12766,SMARTPHONE,685.73,2022-03-22,RELEASED
421,442,SMARTPHONE,928.57,2022-03-23,RELEASED
422,11587,SMARTPHONE,828.78,2022-03-24,RELEASED
423,1789,MOTORCYCLE,2715.68,2022-03-24,ACTIVE
424,1691,MOTORCYCLE,3570.53,2022-03-24,SEIZED
425,2848,MOTORCYCLE,1936.51,2022-03-24,RELEASED
426,19180,MOTORCYCLE,12908.55,2022-03-25,ACTIVE
427,7135,MOTORCYCLE,2415.77,2022-03-25,RELEASED
428,4546,CAR,2988.95,2022-03-25,ACTIVE
429,5020,MOTORCYCLE,1519.09,2022-03-25,ACTIVE
430,21297,SMARTPHONE,472.32,2022-03-25,ACTIVE
431,14121,CAR,11473.31,2022-03-25,RELEASED
432,14934,SMARTPHONE,480.62,2022-03-26,RELEASED
433,2298,MOTORCYCLE,2872.98,2022-03-26,ACTIVE
434,14054,MOTORCYCLE,2891.89,2022-03-26,RELEASED
435,7203,CAR,4613.52,2022-03-26,RELEASED
436,4626,MOTORCYCLE,1419.27,2022-03-26,RELEASED
437,13358,MOTORCYCLE,2299.53,2022-03-26,ACTIVE
438,10919,SMARTPHONE,370.84,2022-03-27,RELEASED
439,10147,MOTORCYCLE,1068.99,2022-03-27,ACTIVE
440,20608,MOTORCYCLE,1762.98,2022-03-27,ACTIVE
441,6570,SMARTPHONE,679.88,2022-03-27,ACTIVE
442,20142,MOTORCYCLE,1796.58,2022-03-27,ACTIVE
443,14107,CAR,62176.06,2022-03-27,ACTIVE
444,514,CAR,14517.28,2022-03-28,ACTIVE
445,11503,SMARTPHONE,1186.55,2022-03-28,RELEASED
446,11094,MOTORCYCLE,2544.58,2022-03-28,ACTIVE
447,17998,MOTORCYCLE,1339.47,2022-03-28,ACTIVE
448,11858,SMARTPHONE,1011.77,2022-03-28,ACTIVE
449,10575,CAR,32281.41,2022-03-28,SEIZED
450,12591,SMARTPHONE,755.68,2022-03-28,ACTIVE
451,19704,SMARTPHONE,745.71,2022-03-29,ACTIVE
